author,year,authoryear,cases,total,discipline,comparison,sampleyear
Hopewell,2014,Hopewell2014,11,93,Clinical Trials (BMC),submitted vs last revised,2012
Teplitskiy,2016,Teplitskiy2016,2,10,Social Science (ASA),conference vs published,2006 to 2012
Bero,2021,Bero2021,5,67,Medicine (medRxiv),first preprinted vs published,2020
Shi,2021,Shi2021,6,44,Medicine (medRxiv),last preprinted vs published,2019 to 2020
Janda,2022,Janda2022,73,535,Medicine (medRxiv),last preprinted vs published,2020
Kapp,2022,Kapp2022,0,78,Medicine (Multiple servers),first preprinted vs published,2020 to 2021
Zeraatkar,2022,Zeraatkar2022,1,74,Medicine (Multiple servers),first preprinted vs published,2020 to 2021
Bai,2023,Bai2023,7,119,Medicine (Multiple servers),first preprinted vs published,2021 to 2022
Morin,2023,Morin2023,3,21,Medicine (bio/medRxiv/Research Square),preprinted vs published,2020 to 2022
Davidson,2024,Davidson2024,9,109,Medicine (medRxiv),first preprinted vs published,2020 to 2022
Sterian,2024,Sterian2024,12,41,Mpox (medRxiv),first preprinted vs published,2022 to 2024
